index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,Intercept,3.1058950048738536,Intercept,605.7658208948269,606.0,0.23417910517309792,606.0
1,grade:A,0.784128202364287,grade,55.647116465962014,56.0,0.35288353403798567,56.0
2,grade:B,0.47370810995864615,grade,33.61757718477402,34.0,0.3824228152259792,34.0
3,grade:C,0.17815905932148055,grade,12.643389044847591,13.0,0.3566109551524086,13.0
4,grade:D,-0.010582098709263793,grade,-0.7509783190467838,-1.0,-0.2490216809532162,-1.0
5,grade:E,-0.2447011527199783,grade,-17.36567248022244,-17.0,0.3656724802224396,-17.0
6,grade:F,-0.4249594814290881,grade,-30.158040082089926,-30.0,0.1580400820899257,-30.0
7,grade:G,-0.622173384620382,grade,-44.153691566761886,-44.0,0.15369156676188567,-44.0
8,home_ownership:OWN,0.060281664388784496,home_ownership,4.278000445450507,4.0,-0.27800044545050717,4.0
9,home_ownership:MORTGAGE,0.08337156590369897,home_ownership,5.916618256815888,6.0,0.08338174318411173,6.0
10,home_ownership:OTHER_NONE_RENT,-0.010073976126919697,home_ownership,-0.7149184548135736,-1.0,-0.28508154518642637,-1.0
11,verification_status:Not Verified,0.192292881134845,verification_status,13.646422000665261,14.0,0.353577999334739,14.0
12,verification_status:Source Verified,-0.03728176351952772,verification_status,-2.645769697317676,-3.0,-0.3542303026823239,-3.0
13,verification_status:Verified,-0.02143186345008955,verification_status,-1.5209520559186118,-2.0,-0.4790479440813882,-2.0
14,purpose:debt_consolidation,0.02761614976386329,purpose,1.959831437789823,2.0,0.04016856221017706,2.0
15,purpose:credit_card,0.10580887140928431,purpose,7.508923378461828,8.0,0.49107662153817166,8.0
16,purpose:major_purch__car__home_impr,0.11081225516103042,purpose,7.863997813379256,8.0,0.13600218662074415,8.0
17,purpose:educ__ren_en__sm_b__mov,-0.25620417084258884,purpose,-18.18200555847282,-18.0,0.18200555847282018,-18.0
18,purpose:vacation__house__wedding__med__oth,0.14554614867421048,purpose,10.32895317631148,10.0,-0.32895317631147947,10.0
19,term:36,0.0,term,0.0,0.0,0.0,0.0
20,term:60,0.0,term,0.0,0.0,0.0,0.0
21,int_rate:<7.071,0.7788980432741941,int_rate,55.27594849732581,55.0,-0.27594849732580684,55.0
22,int_rate:7.071-10.374,0.22556408657132354,int_rate,16.00757498343546,16.0,-0.007574983435461036,16.0
23,int_rate:10.374-13.676,-0.03227687322311791,int_rate,-2.2905883476558104,-2.0,0.29058834765581043,-2.0
24,int_rate:13.676-15.74,-0.12038778884735166,int_rate,-8.54354337322498,-9.0,-0.4564566267750205,-9.0
25,int_rate:15.74-20.281,-0.3034685883328993,int_rate,-21.536212863922174,-22.0,-0.4637871360778263,-22.0
26,int_rate:>20.281,-0.41474962527689657,int_rate,-29.433478648527593,-29.0,0.43347864852759344,-29.0
27,annual_inc:missing,0.0,annual_inc,0.0,0.0,0.0,0.0
28,"annual_inc:<28,555",-0.2515422606123314,annual_inc,-17.851164427195066,-18.0,-0.1488355728049342,-18.0
29,"annual_inc:28,555-37,440",-0.2543692028930677,annual_inc,-18.05178364464492,-18.0,0.05178364464492091,-18.0
30,"annual_inc:37,440-61,137",-0.12950350299787336,annual_inc,-9.190456984385769,-9.0,0.19045698438576864,-9.0
31,"annual_inc:61,137-81,872",0.037865110643336954,annual_inc,2.6871680110638447,3.0,0.31283198893615527,3.0
32,"annual_inc:81,872-102,606",0.14441422666103526,annual_inc,10.248624225117496,10.0,-0.2486242251174957,10.0
33,"annual_inc:102,606-120,379",0.18477044206627277,annual_inc,13.112578119403523,13.0,-0.11257811940352269,13.0
34,"annual_inc:120,379-150,000",0.21831790018836922,annual_inc,15.493335887876189,15.0,-0.49333588787618865,15.0
35,annual_inc:>150K,0.18362654110971205,annual_inc,13.03139906020972,13.0,-0.031399060209720275,13.0
36,dti:<=1.6,0.2618086093949045,dti,18.57973496535641,19.0,0.42026503464359166,19.0
37,dti:1.6-5.599,0.2511344229975356,dti,17.822221472227607,18.0,0.1777785277723929,18.0
38,dti:5.599-10.397,0.18538353785018505,dti,13.15608760215046,13.0,-0.15608760215046047,13.0
39,dti:10.397-15.196,0.08414182743569054,dti,5.971281299224956,6.0,0.028718700775043793,6.0
40,dti:15.196-19.195,-0.014061533489662563,dti,-0.9979028804600435,-1.0,-0.0020971195399565046,-1.0
41,dti:19.195-24.794,-0.1110855769546196,dti,-7.883394602877048,-8.0,-0.11660539712295215,-8.0
42,dti:24.794-35.191,-0.2072572928246415,dti,-14.70839931207415,-15.0,-0.29160068792585037,-15.0
43,dti:>35.191,-0.31648474024348083,dti,-22.459928296070714,-22.0,0.4599282960707143,-22.0
44,inq_last_6mths:missing,0.0,inq_last_6mths,0.0,0.0,0.0,0.0
45,inq_last_6mths:0,0.1911071684541257,inq_last_6mths,13.56227569469105,14.0,0.4377243053089508,13.0
46,inq_last_6mths:1-2,0.1268784680376537,inq_last_6mths,9.004166495511475,9.0,-0.004166495511475077,9.0
47,inq_last_6mths:3-4,-0.002868930424013847,inq_last_6mths,-0.20359898414120786,-0.0,0.20359898414120786,-0.0
48,inq_last_6mths:>4,-0.1815374519023727,inq_last_6mths,-12.883142958620622,-13.0,-0.11685704137937769,-13.0
49,revol_util:missing,0.0,revol_util,0.0,0.0,0.0,0.0
50,revol_util:<0.1,-0.2874396799965144,revol_util,-20.398691567879492,-20.0,0.3986915678794922,-20.0
51,revol_util:0.1-0.2,-0.3341381011455972,revol_util,-23.712731890143395,-24.0,-0.2872681098566048,-24.0
52,revol_util:0.2-0.3,0.24923633658977998,revol_util,17.687520239602172,18.0,0.312479760397828,18.0
53,revol_util:0.3-0.4,-0.04873147411800086,revol_util,-3.4583197079584016,-3.0,0.4583197079584016,-3.0
54,revol_util:0.4-0.5,0.025935647062367895,revol_util,1.8405714376144522,2.0,0.1594285623855478,2.0
55,revol_util:0.5-0.6,0.3378489652629846,revol_util,23.976080264946116,24.0,0.023919735053883784,24.0
56,revol_util:0.6-0.7,-0.08076935556899109,revol_util,-5.731947559947947,-6.0,-0.2680524400520534,-6.0
57,revol_util:0.7-0.8,0.08401963959265517,revol_util,5.962610011657932,6.0,0.03738998834206786,6.0
58,revol_util:0.8-0.9,-0.09367459221639836,revol_util,-6.647791684127839,-7.0,-0.3522083158721614,-7.0
59,revol_util:0.9-1.0,0.3384863691577601,revol_util,24.021314817996856,24.0,-0.021314817996856306,24.0
60,revol_util:>1.0,-0.057194500454648085,revol_util,-4.05891411431942,-4.0,0.058914114319420285,-4.0
61,"out_prncp:<1,286",-1.5773177768441908,out_prncp,-111.9372900594942,-112.0,-0.06270994050579759,-112.0
62,"out_prncp:1,286-6,432",0.37037271070974637,out_prncp,26.284188359168752,26.0,-0.28418835916875196,26.0
63,"out_prncp:6,432-9,005",0.32841972268162495,out_prncp,23.30691652548536,23.0,-0.3069165254853594,23.0
64,"out_prncp:9,005-10,291",0.447567488279118,out_prncp,31.762459342172107,32.0,0.2375406578278927,32.0
65,"out_prncp:10,291-15,437",0.29961694265200367,out_prncp,21.26287366359222,21.0,-0.2628736635922202,21.0
66,"out_prncp:>15,437",0.2649201666874235,out_prncp,18.800552416540082,19.0,0.19944758345991787,19.0
67,tot_cur_bal:0-100000,-0.3042417274563176,tot_cur_bal,-21.591080119959553,-22.0,-0.40891988004044677,-22.0
68,tot_cur_bal:100000-200000,-0.3039674407122708,tot_cur_bal,-21.571614850957594,-22.0,-0.42838514904240554,-22.0
69,tot_cur_bal:200000-300000,-0.2403221954444823,tot_cur_bal,-17.054911631710333,-17.0,0.05491163171033264,-17.0
70,tot_cur_bal:300000-400000,-0.1961704105215311,tot_cur_bal,-13.921598086323852,-14.0,-0.07840191367614757,-14.0
71,tot_cur_bal:400000-500000,-0.18986333759938842,tot_cur_bal,-13.474004924389936,-13.0,0.474004924389936,-13.0
0,"out_prncp:>15,437",0.0,out_prncp,0.0,0.0,0.0,0.0
1,revol_util:>1.0,0.0,revol_util,0.0,0.0,0.0,0.0
2,inq_last_6mths:>4,0.0,inq_last_6mths,0.0,0.0,0.0,0.0
3,dti:>35.191,0.0,dti,0.0,0.0,0.0,0.0
4,annual_inc:>150K,0.0,annual_inc,0.0,0.0,0.0,0.0
5,int_rate:>20.281,0.0,int_rate,0.0,0.0,0.0,0.0
6,term:60,0.0,term,0.0,0.0,0.0,0.0
7,purpose:major_purchcarhome_impr,0.0,purpose,0.0,0.0,0.0,0.0
8,verification_status:Not Verified,0.0,verification_status,0.0,0.0,0.0,0.0
9,home_ownership:MORTGAGE,0.0,home_ownership,0.0,0.0,0.0,0.0
10,grade:G,0.0,grade,0.0,0.0,0.0,0.0
11,tot_cur_bal:0-100000,0.0,tot_cur_bal,0.0,0.0,0.0,0.0
